GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CommentSystem,com.example.commentservice.controller,CommentController,0,99,0,2,0,19,0,10,0,9
CommentSystem,com.example.commentservice.configuration,WebConfig,10,0,0,0,3,0,2,0,2,0
CommentSystem,com.example.commentservice.configuration,WebConfig.PageableHandlerMethodArgumentResolver,45,0,12,0,10,0,8,0,2,0
CommentSystem,com.example.commentservice.request,CommentRequest,219,33,47,3,2,5,34,5,9,5
CommentSystem,com.example.commentservice.request,UpdateCommentRequest,179,27,39,3,0,4,28,4,7,4
CommentSystem,com.example.commentservice.request,LikeDislikeRequest,130,19,28,2,0,3,21,3,6,3
CommentSystem,com.example.commentservice,CommentServiceApplication,8,0,0,0,3,0,2,0,2,0
CommentSystem,com.example.commentservice.constant,GlobalConstants,3,0,0,0,1,0,1,0,1,0
CommentSystem,com.example.commentservice.exception,CommentNotFoundException,0,4,0,0,0,2,0,1,0,1
CommentSystem,com.example.commentservice.exception,CommentServiceException,0,4,0,0,0,2,0,1,0,1
CommentSystem,com.example.commentservice.exception,GlobalExceptionHandler,24,0,0,0,4,0,4,0,4,0
CommentSystem,com.example.commentservice.service,CommentService,55,332,4,14,6,85,6,14,2,9
CommentSystem,com.example.commentservice.entity,LikeDislike,204,18,38,0,5,7,31,3,12,3
CommentSystem,com.example.commentservice.entity,Comments,273,75,57,1,4,8,37,14,8,14
